1.0000e+00 1.0000e+00 1.000000e+00 2.1460e-16 1.4916e-18
1.0000e+00 1.0000e+00 1.450000e+00 3.8483e-14 2.8393e-16
1.0000e+00 1.0000e+00 1.900000e+00 8.7923e-13 6.9663e-15
1.0000e+00 1.0000e+00 2.350000e+00 6.9129e-12 5.8963e-14
1.0000e+00 1.0000e+00 2.800000e+00 2.8974e-11 2.6554e-13
1.0000e+00 1.0000e+00 3.250000e+00 8.1169e-11 7.9634e-13
1.0000e+00 1.0000e+00 3.700000e+00 1.7303e-10 1.8092e-12
1.0000e+00 1.0000e+00 4.150000e+00 3.0403e-10 3.3726e-12
1.0000e+00 1.0000e+00 4.600000e+00 4.6385e-10 5.4351e-12
1.0000e+00 1.0000e+00 5.050000e+00 6.3656e-10 7.8470e-12
1.0000e+00 1.0000e+00 5.500000e+00 8.0554e-10 1.0408e-11
1.0000e+00 1.0000e+00 5.950000e+00 9.5702e-10 1.2917e-11
1.0000e+00 1.0000e+00 6.400000e+00 1.0817e-09 1.5204e-11
1.0000e+00 1.0000e+00 6.850000e+00 1.1748e-09 1.7150e-11
1.0000e+00 1.0000e+00 7.300000e+00 1.2355e-09 1.8685e-11
1.0000e+00 1.0000e+00 7.750000e+00 1.2657e-09 1.9785e-11
1.0000e+00 1.0000e+00 8.200000e+00 1.2690e-09 2.0463e-11
1.0000e+00 1.0000e+00 8.650000e+00 1.2500e-09 2.0753e-11
1.0000e+00 1.0000e+00 9.100000e+00 1.2133e-09 2.0704e-11
1.0000e+00 1.0000e+00 9.550000e+00 1.1633e-09 2.0372e-11
1.0000e+00 1.0000e+00 1.000000e+01 1.1040e-09 1.9813e-11
